No,Item Name,SKU,Description,Rate,School,Grade,CF.Fee Category
1,EGS Pr.KG - Initial Academic Fee - 2025-2026,25G-PKG-IAF,Initial Academic Fee,INR 25000.00,Excel Global School,Pre-KG,Initial Fee
2,EGS Pr.KG - Term I Fee (June) - 2025-2026,25G-PKG-T1,Term I Fee (June),INR 14000.00,Excel Global School,Pre-KG,Term Fee
3,EGS Pr.KG - Term II Fee (Sept) - 2025-2026,25G-PKG-T2,Term II Fee (Sept),INR 14000.00,Excel Global School,Pre-KG,Term Fee
4,EGS Pr.KG - Term III Fee (Jan) - 2025-2026,25G-PKG-T3,Term III Fee (Jan),INR 12000.00,Excel Global School,Pre-KG,Term Fee
5,EGS LKG - Initial Academic Fee - 2025-2026,25G-LKG-IAF,Initial Academic Fee,INR 25000.00,Excel Global School,LKG,Initial Fee
6,EGS LKG - Term I Fee (June) - 2025-2026,25G-LKG-T1,Term I Fee (June),INR 15000.00,Excel Global School,LKG,Term Fee
7,EGS LKG - Term II Fee (Sept) - 2025-2026,25G-LKG-T2,Term II Fee (Sept),INR 15000.00,Excel Global School,LKG,Term Fee
8,EGS LKG - Term III Fee (Jan) - 2025-2026,25G-LKG-T3,Term III Fee (Jan),INR 15000.00,Excel Global School,LKG,Term Fee
9,EGS UKG - Initial Academic Fee - 2025-2026,25G-UKG-IAF,Initial Academic Fee,INR 25000.00,Excel Global School,UKG,Initial Fee
10,EGS UKG - Term I Fee (June) - 2025-2026,25G-UKG-T1,Term I Fee (June),INR 15000.00,Excel Global School,UKG,Term Fee
11,EGS UKG - Term II Fee (Sept) - 2025-2026,25G-UKG-T2,Term II Fee (Sept),INR 15000.00,Excel Global School,UKG,Term Fee
12,EGS UKG - Term III Fee (Jan) - 2025-2026,25G-UKG-T3,Term III Fee (Jan),INR 15000.00,Excel Global School,UKG,Term Fee
13,EGS 01 - Initial Academic Fee - 2025-2026,25G-01-IAF,Initial Academic Fee,INR 30000.00,Excel Global School,Grade 01,Initial Fee
14,EGS 01 - Term I Fee (June) - 2025-2026,25G-01-T1,Term I Fee (June),INR 17000.00,Excel Global School,Grade 01,Term Fee
15,EGS 01 - Term II Fee (Sept) - 2025-2026,25G-01-T2,Term II Fee (Sept),INR 17000.00,Excel Global School,Grade 01,Term Fee
16,EGS 01 - Term III Fee (Jan) - 2025-2026,25G-01-T3,Term III Fee (Jan),INR 16000.00,Excel Global School,Grade 01,Term Fee
17,EGS 02 - Initial Academic Fee - 2025-2026,25G-02-IAF,Initial Academic Fee,INR 30000.00,Excel Global School,Grade 02,Initial Fee
18,EGS 02 - Term I Fee (June) - 2025-2026,25G-02-T1,Term I Fee (June),INR 17000.00,Excel Global School,Grade 02,Term Fee
19,EGS 02 - Term II Fee (Sept) - 2025-2026,25G-02-T2,Term II Fee (Sept),INR 17000.00,Excel Global School,Grade 02,Term Fee
